time_s,theta_ref_rad,theta_actual_rad,error_rad,wind_torque
1.1920928955078125e-06,-0.9999999999999888,-0.9404300898894615,-0.05956991011052726,1.9788839382600778
1.9798383712768555,-0.9692101287275423,-0.8692557283812763,-0.09995440034626601,-1.9739350777083855
3.980376958847046,-0.8774919729188709,-1.0023342760566303,0.12484230313775935,1.312384366075896
5.9809348583221436,-0.7306065692373566,-0.6931597590741356,-0.037446810163220934,-0.7595159371789961
7.982038259506226,-0.5377311938169084,-0.6175946760182769,0.07986348220136852,-4.302276955886345
9.98236346244812,-0.31112403429179597,-0.5931148438832244,0.28199080959142847,0.23085506666930733
11.982820272445679,-0.06494497973313461,-0.10866336773482191,0.0437183880016873,1.6490378752749397
13.984471559524536,0.18546416164006546,0.22261425991165384,-0.03715009827158838,-0.8116752581978016
15.984965324401855,0.4240690311079615,0.33253287954829447,0.09153615155966704,-1.2815692154029146
17.985758543014526,0.6360440328157587,0.5201031056995017,0.11594092711625703,1.5507768233648374
19.98684024810791,0.8080438662454845,0.8539269278640028,-0.045883061618518295,0.1587109235015868
21.986559867858887,0.9291534209770509,0.9139180345727178,0.015235386404333084,-1.790774424225515
23.98780918121338,0.9919215337885295,0.8805872552306614,0.11133427855786815,0.9718332707075144
