time_s,theta_ref_rad,theta_actual_rad,error_rad
4.76837158203125e-07,-0.9999999999999982,-4.993750312421894e-05,-0.999950062496874
0.9540205001831055,-0.9928223062798442,-0.780982669047171,-0.2118396372326733
1.9466123580932617,-0.9702297839569816,-0.9674448896833409,-0.0027848942736407034
2.9469926357269287,-0.9322079557485429,-0.9673949222262775,0.03518696647773467
3.947385787963867,-0.8794727125013589,-0.9411405433217275,0.06166783082036853
4.946936845779419,-0.8129183976994786,-0.8933109468028902,0.08039254910341165
5.94754695892334,-0.7334649126081867,-0.8299503628904923,0.0964854502823056
6.947629928588867,-0.6424809108005717,-0.7532585516134168,0.11077764081284514
7.948590993881226,-0.541270142074414,-0.664862242254701,0.12359210018028699
8.949106454849243,-0.4315573401507103,-0.5658503253865527,0.13429298523584238
9.949049949645996,-0.31509982700793043,-0.45802581723130714,0.1429259902233767
10.949059247970581,-0.19366544963616655,-0.34312213019324517,0.14945668055707861
11.949616432189941,-0.06910811110822065,-0.22264679403414134,0.15353868292592068
12.952209949493408,0.05679579883652173,-0.09886029631166277,0.1556560951481845
13.951643943786621,0.1814089238710416,0.026663693833892763,0.15474523003714885
14.95096731185913,0.30315110774405685,0.1515008401205785,0.15165026762347836
15.951306104660034,0.4202346681280823,0.27388900624042817,0.14634566188765413
16.951719760894775,0.53069436489054,0.3919537099693205,0.1387406549212195
17.95303463935852,0.6328654680278961,0.5037635050785976,0.12910196294929854
18.95366883277893,0.724970761587426,0.6076498178846413,0.11732094370278467
19.953757286071777,0.8055877159483729,0.7019238564380229,0.10366385951034995
20.953051805496216,0.8734492515912022,0.7851302264783842,0.08831902511281808
21.95429563522339,0.9276468834152758,0.8557176867867987,0.07192919662847708
22.95473551750183,0.9671529261807379,0.9127472171328761,0.054405709047861794
23.954765558242798,0.9913862416390853,0.9554976733069177,0.03588856833216758
24.955435752868652,0.9999843194336205,0.9830351398336168,0.01694917960000375
