time_s,theta_ref_rad,theta_actual_rad,error_rad
4.76837158203125e-07,-0.9999999999999982,-4.948750312421894e-06,-0.9999950512496858
1.0401113033294678,-0.9914703541356528,-0.09513252062660656,-0.8963378335090462
2.0410430431365967,-0.9672876360149495,-0.18842714944837333,-0.7788604865665761
1.6825778484344482,-0.9777299350682109,-0.2752271494526519,-0.702502785615559
2.6535942554473877,-0.9449153341005698,-0.36472160388773234,-0.5801937302128375
3.6394076347351074,-0.8972295870938642,-0.45511481681074095,-0.4421147702831233
4.646271705627441,-0.8343367943800467,-0.551506595617256,-0.2828301987627907
5.722811460494995,-0.7523661336021573,-0.6405053620319107,-0.11186077157024665
6.709077835083008,-0.6651604986273725,-0.7289002882884631,0.06373978966109062
7.696329832077026,-0.567648707700067,-0.6907942729568758,0.12314556525680875
8.685769081115723,-0.4611673881954389,-0.6091845506512452,0.14801716245580632
9.66485333442688,-0.3487856167637554,-0.5227630685073619,0.17397745174360646
10.640474557876587,-0.23155406255982575,-0.4359630685068988,0.20440900594707306
11.611633777618408,-0.1114036610799367,-0.34846306850619746,0.23705940742626075
12.58615493774414,0.010826337276604394,-0.2585630685052228,0.2693894057818272
13.588222980499268,0.13632431296049705,-0.17056306850400574,0.3068873814645028
14.573503732681274,0.25762571314662436,-0.0804630685024682,0.33808878164909256
15.571094512939453,0.37641637421059065,0.00673693149833091,0.3696794427122597
16.549710750579834,0.4872183839251541,0.09313693150031091,0.39408145242484316
17.524102449417114,0.5902329056779042,0.18243693150254237,0.40779597417536184
18.515569925308228,0.6859720761742883,0.2697369315048387,0.41623514466944966
19.49246835708618,0.769909605174456,0.3575369315072127,0.41237267366724323
20.46353816986084,0.8418639509934662,0.4466369315095861,0.3952270194838801
21.46047878265381,0.9027013195382668,0.5346369315117994,0.36806438802646746
22.44505023956299,0.9489000381387017,0.6253369315138478,0.3235631066248539
23.444828271865845,0.9809645227478261,0.7150369315155173,0.2659275912323088
24.445791244506836,0.9975758418296873,0.8050369315167273,0.19253891031296
